   t            x^2(0)x^2(t)
      0.00000    209.00963      0.01000
      0.02500    126.11196      0.01000
      0.05000    123.70911      0.01000
      0.07500    121.82166      0.01000
      0.10000    120.33810      0.01000
      0.12500    119.17199      0.01000
      0.15000    118.25541      0.01000
      0.17500    117.53496      0.01000
      0.20000    116.96867      0.01000
      0.22500    116.52356      0.01000
      0.25000    116.17369      0.01000
      0.27500    115.89869      0.01000
      0.30000    115.68253      0.01000
      0.32500    115.51263      0.01000
      0.35000    115.37908      0.01000
      0.37500    115.27411      0.01000
      0.40000    115.19160      0.01000
      0.42500    115.12675      0.01000
      0.45000    115.07577      0.01000
      0.47500    115.03570      0.01000
      0.50000    115.00421      0.01000
      0.52500    114.97945      0.01000
      0.55000    114.95999      0.01000
      0.57500    114.94470      0.01000
      0.60000    114.93268      0.01000
      0.62500    114.92323      0.01000
      0.65000    114.91580      0.01000
      0.67500    114.90996      0.01000
      0.70000    114.90538      0.01000
      0.72500    114.90177      0.01000
      0.75000    114.89893      0.01000
      0.77500    114.89670      0.01000
      0.80000    114.89495      0.01000
      0.82500    114.89358      0.01000
      0.85000    114.89249      0.01000
      0.87500    114.89164      0.01000
      0.90000    114.89098      0.01000
      0.92500    114.89045      0.01000
      0.95000    114.89004      0.01000
      0.97500    114.88971      0.01000
      1.00000    114.88946      0.01000
      1.02500    114.88926      0.01000
      1.05000    114.88910      0.01000
      1.07500    114.88897      0.01000
      1.10000    114.88888      0.01000
      1.12500    114.88880      0.01000
      1.15000    114.88874      0.01000
      1.17500    114.88869      0.01000
      1.20000    114.88866      0.01000
      1.22500    114.88863      0.01000
      1.25000    114.88860      0.01000
      1.27500    114.88859      0.01000
      1.30000    114.88857      0.01000
      1.32500    114.88856      0.01000
      1.35000    114.88855      0.01000
      1.37500    114.88854      0.01000
      1.40000    114.88854      0.01000
      1.42500    114.88853      0.01000
      1.45000    114.88853      0.01000
      1.47500    114.88853      0.01000
      1.50000    114.88853      0.01000
      1.52500    114.88853      0.01000
      1.55000    114.88852      0.01000
      1.57500    114.88852      0.01000
      1.60000    114.88852      0.01000
      1.62500    114.88852      0.01000
      1.65000    114.88852      0.01000
      1.67500    114.88852      0.01000
      1.70000    114.88852      0.01000
      1.72500    114.88852      0.01000
      1.75000    114.88852      0.01000
      1.77500    114.88852      0.01000
      1.80000    114.88852      0.01000
      1.82500    114.88852      0.01000
      1.85000    114.88852      0.01000
      1.87500    114.88852      0.01000
      1.90000    114.88852      0.01000
      1.92500    114.88852      0.01000
      1.95000    114.88852      0.01000
      1.97500    114.88852      0.01000
      2.00000    114.88852      0.01000
      2.02500    114.88852      0.01000
      2.05000    114.88852      0.01000
      2.07500    114.88852      0.01000
      2.10000    114.88852      0.01000
      2.12500    114.88852      0.01000
      2.15000    114.88852      0.01000
      2.17500    114.88852      0.01000
      2.20000    114.88852      0.01000
      2.22500    114.88852      0.01000
      2.25000    114.88852      0.01000
      2.27500    114.88852      0.01000
      2.30000    114.88852      0.01000
      2.32500    114.88852      0.01000
      2.35000    114.88852      0.01000
      2.37500    114.88852      0.01000
      2.40000    114.88852      0.01000
      2.42500    114.88852      0.01000
      2.45000    114.88852      0.01000
      2.47500    114.88852      0.01000
      2.50000    114.88852      0.01000

   t            x^3(0)x^3(t)
      0.00000   4495.92627      0.01000
      0.02500   4495.92627      0.01000
      0.05000   4495.92627      0.01000
      0.07500   4495.92627      0.01000
      0.10000   4495.92627      0.01000
      0.12500   4495.92627      0.01000
      0.15000   4495.92627      0.01000
      0.17500   4495.92627      0.01000
      0.20000   4495.92627      0.01000
      0.22500   4495.92627      0.01000
      0.25000   4495.92627      0.01000
      0.27500   4495.92627      0.01000
      0.30000   4495.92627      0.01000
      0.32500   4495.92627      0.01000
      0.35000   4495.92627      0.01000
      0.37500   4495.92627      0.01000
      0.40000   4495.92627      0.01000
      0.42500   4495.92627      0.01000
      0.45000   4495.92627      0.01000
      0.47500   4495.92627      0.01000
      0.50000   4495.92627      0.01000
      0.52500   4495.92627      0.01000
      0.55000   4495.92627      0.01000
      0.57500   4495.92627      0.01000
      0.60000   4495.92627      0.01000
      0.62500   4495.92627      0.01000
      0.65000   4495.92627      0.01000
      0.67500   4495.92627      0.01000
      0.70000   4495.92627      0.01000
      0.72500   4495.92627      0.01000
      0.75000   4495.92627      0.01000
      0.77500   4495.92627      0.01000
      0.80000   4495.92627      0.01000
      0.82500   4495.92627      0.01000
      0.85000   4495.92627      0.01000
      0.87500   4495.92627      0.01000
      0.90000   4495.92627      0.01000
      0.92500   4495.92627      0.01000
      0.95000   4495.92627      0.01000
      0.97500   4495.92627      0.01000
      1.00000   4495.92627      0.01000
      1.02500   4495.92627      0.01000
      1.05000   4495.92627      0.01000
      1.07500   4495.92627      0.01000
      1.10000   4495.92627      0.01000
      1.12500   4495.92627      0.01000
      1.15000   4495.92627      0.01000
      1.17500   4495.92627      0.01000
      1.20000   4495.92627      0.01000
      1.22500   4495.92627      0.01000
      1.25000   4495.92627      0.01000
      1.27500   4495.92627      0.01000
      1.30000   4495.92627      0.01000
      1.32500   4495.92627      0.01000
      1.35000   4495.92627      0.01000
      1.37500   4495.92627      0.01000
      1.40000   4495.92627      0.01000
      1.42500   4495.92627      0.01000
      1.45000   4495.92627      0.01000
      1.47500   4495.92627      0.01000
      1.50000   4495.92627      0.01000
      1.52500   4495.92627      0.01000
      1.55000   4495.92627      0.01000
      1.57500   4495.92627      0.01000
      1.60000   4495.92627      0.01000
      1.62500   4495.92627      0.01000
      1.65000   4495.92627      0.01000
      1.67500   4495.92627      0.01000
      1.70000   4495.92627      0.01000
      1.72500   4495.92627      0.01000
      1.75000   4495.92627      0.01000
      1.77500   4495.92627      0.01000
      1.80000   4495.92627      0.01000
      1.82500   4495.92627      0.01000
      1.85000   4495.92627      0.01000
      1.87500   4495.92627      0.01000
      1.90000   4495.92627      0.01000
      1.92500   4495.92627      0.01000
      1.95000   4495.92627      0.01000
      1.97500   4495.92627      0.01000
      2.00000   4495.92627      0.01000
      2.02500   4495.92627      0.01000
      2.05000   4495.92627      0.01000
      2.07500   4495.92627      0.01000
      2.10000   4495.92627      0.01000
      2.12500   4495.92627      0.01000
      2.15000   4495.92627      0.01000
      2.17500   4495.92627      0.01000
      2.20000   4495.92627      0.01000
      2.22500   4495.92627      0.01000
