          tau       x(tau)      dx(tau)         dlog
      0.00000      1.65637      0.00478      0.01923      0.05793
      0.05000      1.65478      0.00480      0.05547      0.05869
      0.10000      1.65019      0.00486      0.09072      0.06001
      0.15000      1.64270      0.00495      0.12423      0.06187
      0.20000      1.63250      0.00508      0.15548      0.06423
      0.25000      1.61981      0.00524      0.18404      0.06704
      0.30000      1.60490      0.00543      0.20962      0.07027
      0.35000      1.58808      0.00564      0.23207      0.07386
      0.40000      1.56965      0.00586      0.25137      0.07777
      0.45000      1.54993      0.00610      0.26766      0.08193
      0.50000      1.52918      0.00635      0.28113      0.08631
      0.55000      1.50769      0.00660      0.29210      0.09087
      0.60000      1.48567      0.00685      0.30089      0.09557
      0.65000      1.46332      0.00710      0.30784      0.10038
      0.70000      1.44079      0.00734      0.31327      0.10529
      0.75000      1.41823      0.00758      0.31747      0.11028
      0.80000      1.39571      0.00782      0.32065      0.11534
      0.85000      1.37334      0.00805      0.32296      0.12046
      0.90000      1.35116      0.00827      0.32450      0.12564
      0.95000      1.32924      0.00849      0.32531      0.13086
      1.00000      1.30762      0.00870      0.32542      0.13612
      1.05000      1.28634      0.00890      0.32485      0.14140
      1.10000      1.26545      0.00909      0.32364      0.14668
      1.15000      1.24497      0.00928      0.32184      0.15196
      1.20000      1.22494      0.00946      0.31951      0.15723
      1.25000      1.20537      0.00963      0.31674      0.16246
      1.30000      1.18628      0.00979      0.31356      0.16765
      1.35000      1.16768      0.00994      0.31000      0.17280
      1.40000      1.14958      0.01009      0.30603      0.17790
      1.45000      1.13199      0.01023      0.30160      0.18295
      1.50000      1.11492      0.01035      0.29664      0.18794
      1.55000      1.09838      0.01048      0.29115      0.19289
      1.60000      1.08239      0.01059      0.28518      0.19777
      1.65000      1.06696      0.01070      0.27883      0.20259
