          tau      x2(tau)     dx2(tau)         dlog
      0.00000      3.07454      0.01094      0.18367      1.16287
      0.05000      3.07202      0.01097      0.51410      1.17669
      0.10000      3.06505      0.01103      0.83618      1.21246
      0.15000      3.05399      0.01112      1.14533      1.27155
      0.20000      3.03948      0.01123      1.44040      1.35612
      0.25000      3.02228      0.01136      1.72119      1.46946
      0.30000      3.00321      0.01148      1.98870      1.61626
      0.35000      2.98307      0.01160      2.24533      1.80302
      0.40000      2.96259      0.01171      2.49515      2.03877
      0.45000      2.94238      0.01180      2.74417      2.33612
      0.50000      2.92293      0.01187      3.00050      2.71299
      0.55000      2.90459      0.01191      3.27438      3.19551
      0.60000      2.88757      0.01194      3.57811      3.82275
      0.65000      2.87202      0.01195      3.92596      4.65505
      0.70000      2.85801      0.01194      4.33466      5.78868
      0.75000      2.84558      0.01193      4.82545      7.38377
      0.80000      2.83473      0.01191      5.42960      9.72057
      0.85000      2.82548      0.01188      6.20192     13.32498
      0.90000      2.81778      0.01185      7.25473     19.28564
      0.95000      2.81156      0.01182      8.85697     30.21595
      1.00000      2.80673      0.01178     11.82934     54.14699
      1.05000      2.80313      0.01175     20.36523    132.33265
      1.10000      2.80060      0.01171   -727.46876   7235.58384
      1.15000      2.79895      0.01167    -11.41421    193.32556
      1.20000      2.79798      0.01164     -3.61569    122.92324
      1.25000      2.79750      0.01161     -1.11346    103.99255
      1.30000      2.79732      0.01159     -0.06589     98.43360
      1.35000      2.79731      0.01157      0.40881     98.06866
      1.40000      2.79738      0.01156      0.78037    100.10136
      1.45000      2.79751      0.01156      1.41560    104.16945
      1.50000      2.79773      0.01156      2.61154    112.11130
      1.55000      2.79811      0.01156      4.72667    128.94521
      1.60000      2.79871      0.01156      8.75899    168.81874
      1.65000      2.79956      0.01155     20.00000    300.25947
